Status, Date, Location, Opponent, Outcome, Score
Away, 04/06/2019 - Sat, Gale Wickersham Athletic Complex, @Waterloo East, W, 3-0
Home, 04/08/2019 - Mon, Gale Wickersham Athletic Complex, Skutt Catholic, L, 0-3
Home, 04/16/2019 - Tue, Valley Stadium, Urbandale, W, 3-0
Away, 04/19/2019 - Fri, Johnston High School, @Johnston, W, 3-0
Away, 04/23/2019 - Tue, Mason City High School , @Mason City, W, 10-0
Home, 04/26/2019 - Fri, Burlington Notre Dame Schools, Whitefish Bay (Wis.), L, 0-3
Away, 04/26/2019 - Fri, Burlington Notre Dame Schools, @Normal Community (Ill.), W, 2-0
Neutral, 04/27/2019 - Sat, burlington rec plex, Ames, W, 2-0
Home, 04/30/2019 - Tue, Valley Stadium, Marshalltown, W, 10-0
Home, 05/03/2019 - Fri, Valley Stadium, Dowling Catholic, W, 1-0
Away, 05/07/2019 - Tue, Fort Dodge Senior High School, @Fort Dodge, W, 10-0
Away, 05/10/2019 - Fri, Southeast Polk High School, @Southeast Polk, W, 2-0
Home, 05/14/2019 - Tue, Valley Stadium, Des Moines Lincoln, W, 8-0
Away, 05/17/2019 - Fri, Linn-Mar High School, @Cedar Rapids Kennedy, W, 3-1
Away, 05/18/2019 - Sat, Linn-Mar High School, @Linn-Mar, W, 1-0
Home, 05/21/2019 - Tue, Valley Stadium, Des Moines Roosevelt, Game Cancelled, N/A
Home, 05/23/2019 - Thu, Valley Stadium, Waukee, L, 1-2
Home, 05/29/2019 - Wed, West Des Moines Valley Stadium, Des Moines East, W, 10-0
Home, 06/03/2019 - Mon, , Southeast Polk, W, 2-0
Home, 06/06/2019 - Thu, James. W Cownie Soccer Park - Field 6, Dowling Catholic, L, 1-2
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012445624a92cfeaecefc44
