Status, Date, Location, Opponent, Outcome, Score
Home, 03/30/2019 - Sat, Vinton-Shellsburg High School, South Tama, Game Cancelled, N/A
Home, 04/02/2019 - Tue, Vinton-Shellsburg High School, West Delaware, W, 10-0
Away, 04/05/2019 - Fri, Independence JR / SR High School, @Independence, L, 0-1
Home, 04/09/2019 - Tue, Vinton-Shellsburg High School, Maquoketa, W, 2-0
Away, 04/11/2019 - Thu, Clear Creek Amana High School, @Clear Creek-Amana, L, 0-5
Away, 04/16/2019 - Tue, Mount Vernon High School Soccer Field, @Mount Vernon, L, 0-5
Away, 04/18/2019 - Thu, Marion High School, @Marion, L, 2-3
Home, 04/22/2019 - Mon, Vinton-Shellsburg High School, West Liberty, W, 11-1
Away, 04/25/2019 - Thu, Williamsburg Junior-Senior High School, @Williamsburg, L, 1-4
Home, 04/26/2019 - Fri, Vinton-Shellsburg High School, South Tama, W, 3-1
Away, 05/02/2019 - Thu, Central DeWitt High School, @Central DeWitt, W, 10-1
Home, 05/04/2019 - Sat, Vinton-Shellsburg High School, Anamosa, W, 8-0
Home, 05/04/2019 - Sat, Vinton-Shellsburg High School, Gladbrook-Reinbeck, L, 2-6
Home, 05/06/2019 - Mon, Vinton-Shellsburg High School, Center Point-Urbana, L, 0-2
Home, 05/09/2019 - Thu, Vinton-Shellsburg High School, Solon, W, 1-0
Away, 05/14/2019 - Tue, Benton Community Middle School High School, @Benton, W, 2-0
Home, 05/16/2019 - Thu, Vinton-Shellsburg High School, Monticello, W, 9-0
Home, 05/22/2019 - Wed, Vinton-Shellsburg High School, Beckman Catholic, L, 2-6
Home, 05/29/2019 - Wed, Solon Community School District Spartan Stadium, Cedar Valley Christian, W, 3-0
Away, 05/31/2019 - Fri, Union High School, @Union, L, 1-6
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h201903050124457553bd2b31aca7047
