Status, Date, Location, Opponent, Outcome, Score
Away, 04/02/2019 - Tue, Felderman Park, @Marquette Catholic, W, 8-0
Neutral, 04/04/2019 - Thu, Clarke University Dubuque, IA, North Scott, L, 1-3
Home, 04/05/2019 - Fri, Wahlert Catholic High School, Davenport North, W, 2-0
Home, 04/09/2019 - Tue, Wahlert Catholic High School, Dubuque Senior, L, 1-2
Neutral, 04/13/2019 - Sat, Davenport Assumption, Mount Vernon, W, 6-4
Neutral, 04/13/2019 - Sat, St. Vincent Athletic Complex, West Branch, W, 9-0
Away, 04/16/2019 - Tue, Cedar Valley Soccer Complex, @Cedar Falls, W, 1-0
Home, 04/23/2019 - Tue, Wahlert Catholic High School, Western Dubuque, W, 2-0
Home, 04/25/2019 - Thu, Wahlert Catholic High School, Linn-Mar, L, 1-3
Away, 04/30/2019 - Tue, West High School, @Iowa City West, L, 1-3
Home, 05/03/2019 - Fri, Wahlert Catholic High School, Cedar Rapids Kennedy, W, 1-0
Away, 05/07/2019 - Tue, Lower Kingston, @Cedar Rapids Jefferson, W, 1-0
Home, 05/10/2019 - Fri, Wahlert Catholic High School, Iowa City Liberty, W, 2-0
Home, 05/13/2019 - Mon, Wahlert Catholic High School, Marquette Catholic, W, 9-0
Away, 05/16/2019 - Thu, Stephen Hempstead High School, @Dubuque Hempstead, L, 0-1
Away, 05/17/2019 - Fri, Columbus Catholic High School, @Columbus Catholic, W, 1-0
Home, 05/21/2019 - Tue, Wahlert Catholic High School, Prairie, L, 0-4
Home, 05/23/2019 - Thu, Wahlert Catholic High School, Maquoketa, W, 6-0
Away, 05/29/2019 - Wed, North Scott High School, @North Scott, L, 1-3
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012445842192f020c0b434b
