Status, Date, Location, Opponent, Outcome, Score
Away, 04/05/2019 - Fri, Burlington Notre Dame Schools, @Burlington Notre Dame, L, 0-10
Away, 04/11/2019 - Thu, Holy Trinity Catholic Schools, @Holy Trinity Catholic, L, 1-11
Home, 04/18/2019 - Thu, WAPELLO JR/SR HIGH SCHOOL, Mediapolis, L, 1-10
Home, 04/26/2019 - Fri, WAPELLO JR/SR HIGH SCHOOL, Columbus, L, 1-4
Away, 04/30/2019 - Tue, Central Lee High School, @Central Lee, Game Cancelled, N/A
Home, 05/06/2019 - Mon, WAPELLO JR/SR HIGH SCHOOL, Mid-Prairie, L, 0-10
Away, 05/16/2019 - Thu, East Lake Park, @Mount Pleasant, L, 0-10
Away, 05/23/2019 - Thu, Mediapolis Community School, @Mediapolis, L, 0-6
Away, 05/28/2019 - Tue, Assumption High School, @Columbus, L, 0-7
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012445956a437f4ff47aa4c
