Status, Date, Location, Opponent, Outcome, Score
Away, 04/02/2019 - Tue, Liberty High School, @Iowa City Liberty, L, 0-3
Away, 04/04/2019 - Thu, Keokuk High School, @Keokuk, W, 6-1
Home, 04/06/2019 - Sat, Washington High School, Mediapolis, W, 6-2
Home, 04/08/2019 - Mon, Washington High School, West Liberty, W, 7-0
Away, 04/09/2019 - Tue, Wellman Rotary Soccer Fields, @Mid-Prairie, W, 4-0
Home, 04/11/2019 - Thu, Washington High School, Fairfield, W, 4-1
Away, 04/15/2019 - Mon, Mediapolis Community School, @Mediapolis, L, 0-1
Home, 04/18/2019 - Thu, Washington High School, Fort Madison, L, 0-2
Home, 04/22/2019 - Mon, Washington High School, Mount Pleasant, L, 0-1
Away, 04/25/2019 - Thu, Regina, Iowa City High School, @Regina Catholic, L, 1-8
Home, 05/02/2019 - Thu, Washington High School, Keokuk, W, 8-2
Away, 05/06/2019 - Mon, Baxter Sports Complex, @Fort Madison, L, 0-3
Away, 05/09/2019 - Thu, East Lake Park, @Mount Pleasant, W, 2-1
Home, 05/13/2019 - Mon, Washington High School, Centerville, W, 4-2
Away, 05/16/2019 - Thu, Dexter Soccer Complex, @Fairfield, L, 1-2
Home, 05/20/2019 - Mon, Washington High School, Columbus, L, 1-2
Away, 05/23/2019 - Thu, Clear Creek Amana High School, @Clear Creek-Amana, L, 0-8
Away, 06/03/2019 - Mon, Dallas Center-Grimes High School, @Bondurant-Farrar, Game Cancelled, N/A
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012446025ee657c2713b041
