Status, Date, Location, Opponent, Outcome, Score
Neutral, 04/01/2019 - Mon, Cedar Valley Soccer Complex, Waterloo, TBD, Game Cancelled, N/A
Neutral, 04/05/2019 - Fri, Gale Wickersham Athletic Complex, Sioux City, East, W, 3-1
Home, 04/06/2019 - Sat, Gale Wickersham Athletic Complex, Valley, L, 0-3
Home, 04/08/2019 - Mon, Memorial Stadium, Marshalltown, W, 5-0
Home, 04/11/2019 - Thu, Cedar Valley Soccer Complex, Iowa City Liberty, W, 4-0
Home, 04/15/2019 - Mon, Memorial Stadium, Decorah, L, 1-2
Away, 04/16/2019 - Tue, Dubuque Soccer Complex, @Dubuque Hempstead, W, 3-2
Home, 04/23/2019 - Tue, Cedar Valley Soccer Complex, Cedar Rapids Jefferson, W, 5-0
Away, 04/26/2019 - Fri, Western Dubuque High School, @Western Dubuque, W, 3-0
Home, 04/30/2019 - Tue, Memorial Stadium, Prairie, L, 1-2
Home, 05/03/2019 - Fri, Memorial Stadium, Iowa City, City High, L, 1-2
Away, 05/07/2019 - Tue, Xavier High School, @Xavier, L, 1-7
Away, 05/10/2019 - Fri, Mount Mercy College, @Cedar Rapids Washington, W, 1-0
Home, 05/14/2019 - Tue, Memorial Stadium, Dubuque, Senior, L, 1-5
Away, 05/16/2019 - Thu, Cedar Valley Soccer Complex, @Cedar Falls, L, 0-3
Away, 05/23/2019 - Thu, Coe College Clark Alumni House, @Cedar Rapids Kennedy, L, 0-1
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012446174954d3422afe14f
