Status, Date, Location, Opponent, Outcome, Score
Away, 04/06/2019 - Sat, Gale Wickersham Athletic Complex, @Scotus Central Catholic (NE), W, 1-0
Away, 04/06/2019 - Sat, Gale Wickersham Athletic Complex, @Council Bluffs Lincoln, W, 2-1
Away, 04/11/2019 - Thu, Ames High School, @Ames, W, 4-1
Home, 04/20/2019 - Sat, Waukee Stadium, Iowa City West, W, 5-0
Away, 04/23/2019 - Tue, Dodger Stadium, @Fort Dodge, W, 10-0
Away, 04/26/2019 - Fri, Burlington Regional Rec Plex, @Lemont HS (IL), L, 1-2
Home, 04/27/2019 - Sat, Burlington Regional Rec Plex, Park Hill (MO), W, 2-0
Away, 04/27/2019 - Sat, Burlington Regional Rec Plex, @Ankeny Centennial, W, 2-1
Away, 04/30/2019 - Tue, Mason City High School , @Mason City, W, 7-0
Home, 05/03/2019 - Fri, Waukee Stadium, Urbandale, W, 1-0
Home, 05/07/2019 - Tue, Waukee Stadium, Southeast Polk, W, 3-1
Away, 05/10/2019 - Fri, Marshalltown High School, @Marshalltown, W, 2-0
Away, 05/13/2019 - Mon, Dowling Catholic High School, @Dowling Catholic, L, 1-2
Home, 05/14/2019 - Tue, Waukee Stadium, Des Moines Roosevelt, W, 4-0
Home, 05/20/2019 - Mon, Waukee Stadium, Ankeny, L, 0-1
Home, 05/21/2019 - Tue, Waukee Stadium, Des Moines East, Game Cancelled, N/A
Away, 05/23/2019 - Thu, Valley Stadium, @Valley, W, 2-1
Home, 05/29/2019 - Wed, Waukee Stadium, Des Moines Roosevelt, W, 2-0
Home, 06/03/2019 - Mon, Waukee Stadium, Council Bluffs Jefferson, W, 3-0
Home, 06/06/2019 - Thu, James. W Cownie Soccer Park - Field 9, Pleasant Valley, W, 2-0
Home, 06/07/2019 - Fri, James. W Cownie Soccer Park - Field 9, Ankeny Centennial, W, 2-1
Home, 06/08/2019 - Sat, James. W Cownie Soccer Park - Field 9, Ankeny, L, 0-1
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h201903050124462873967bf3c549d4d
