Status, Date, Location, Opponent, Outcome, Score
Away, 04/02/2019 - Tue, Decorah High School, @Decorah, W, 1-0
Home, 04/06/2019 - Sat, Waverly-Shell Rock Soccer Complex, Xavier, L, 2-3
Away, 04/09/2019 - Tue, Union High School, @Union Community, W, 3-0
Home, 04/15/2019 - Mon, Waverly-Shell Rock Soccer Complex, Center Point-Urbana, W, 1-0
Away, 04/23/2019 - Tue, Cedar Valley Soccer Complex, @Cedar Falls, W, 8-0
Away, 04/25/2019 - Thu, Denver Athletic Complex, @Denver, W, 4-0
Home, 04/30/2019 - Tue, Waverly-Shell Rock Senior High School, Gladbrook-Reinbeck, W, 10-0
Home, 05/06/2019 - Mon, Waverly-Shell Rock Senior High School, Columbus Catholic, W, 4-1
Home, 05/11/2019 - Sat, Waverly Soccer Complex, Benton, W, 10-0
Home, 05/11/2019 - Sat, Waverly Soccer Complex, St. Albert, W, 5-1
Away, 05/11/2019 - Sat, Waverly-Shell Rock Senior High School, @Spencer, W, 2-0
Away, 05/16/2019 - Thu, Urbandale High School, @Urbandale, W, 1-0
Home, 05/17/2019 - Fri, Waverly-Shell Rock Senior High School, Decorah, W, 8-0
Home, 05/22/2019 - Wed, Waverly Soccer Complex, Hudson, W, 8-0
Home, 05/28/2019 - Tue, Waverly Soccer Complex, Decorah, W, 6-0
Home, 06/03/2019 - Mon, Waverly Soccer Complex, Mount Vernon, W, 10-0
Home, 06/06/2019 - Thu, James. W Cownie Soccer Park - Field 6, Lewis Central, W, 2-1
Home, 06/07/2019 - Fri, James. W Cownie Soccer Park - Field 6, Dallas Center-Grimes, W, 1-0
Away, 06/08/2019 - Sat, James. W Cownie Soccer Park - Field 9, @Xavier, L, 1-2
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012446427cf3315daff8c42
