Status, Date, Location, Opponent, Outcome, Score
Away, 04/01/2019 - Mon, Gilbert High School, @Gilbert, L, 1-11
Away, 04/04/2019 - Thu, Mason City High School , @Mason City, L, 1-11
Home, 04/06/2019 - Sat, Boone High School, Kuemper Catholic, L, 0-3
Away, 04/06/2019 - Sat, Boone High School, @Boone, W, 4-2
Away, 04/09/2019 - Tue, Garner-Hayfield-Ventura High School, @Garner-Hayfield-Ventura, L, 0-10
Away, 04/15/2019 - Mon, Webster City High School, @Hampton-Dumont/CAL, W, 10-0
Home, 04/29/2019 - Mon, Webster City High School, Iowa Falls-Alden, L, 2-11
Away, 04/30/2019 - Tue, Humboldt Soccer Field, @Humboldt, L, 0-6
Away, 05/10/2019 - Fri, Iowa Falls-Alden High School, @Iowa Falls-Alden, L, 1-6
Home, 05/13/2019 - Mon, Webster City High School, Garner-Hayfield-Ventura, L, 1-8
Away, 05/16/2019 - Thu, Boone High School, @Boone, L, 1-3
Home, 05/17/2019 - Fri, Webster City High School, Humboldt, L, 1-9
Away, 05/20/2019 - Mon, Lions Field, @Clear Lake, L, 0-10
Away, 05/23/2019 - Thu, Ballard High School, @Ballard, L, 0-10
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h2019030501244652757e3e8afdbb54a
