Status, Date, Location, Opponent, Outcome, Score
Away, 04/04/2019 - Thu, Liberty High School, @Iowa City Liberty, L, 1-4
Home, 04/08/2019 - Mon, West Branch High School, Denver, L, 1-5
Neutral, 04/13/2019 - Sat, St. Vincent Athletic Complex, Burlington Notre Dame, L, 0-9
Neutral, 04/13/2019 - Sat, St. Vincent Athletic Complex, Wahlert Catholic, L, 0-9
Away, 04/18/2019 - Thu, Felderman Park, @Marquette Catholic, L, 4-5
Home, 04/22/2019 - Mon, West Branch High School, Anamosa, L, 1-3
Away, 04/26/2019 - Fri, Wellman Rotary Soccer Fields, @Mid-Prairie, L, 3-6
Away, 05/03/2019 - Fri, Regina, Iowa City High School, @Regina Catholic, L, 0-4
Away, 05/06/2019 - Mon, Martin Sports Complex, @Cedar Valley Christian, W, 2-1
Away, 05/09/2019 - Thu, Downing Field, @Anamosa, W, 8-2
Home, 05/15/2019 - Wed, West Branch High School, Marquette Catholic, L, 2-5
Home, 05/21/2019 - Tue, West Branch High School, Northeast, Game Cancelled, N/A
Away, 05/29/2019 - Wed, Liberty High School, @Iowa City Regina, L, 1-3
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h2019032701463856801298ecb373943
