Status, Date, Location, Opponent, Outcome, Score
Away, 04/02/2019 - Tue, Vinton-Shellsburg High School, @Vinton-Shellsburg, L, 0-10
Home, 04/05/2019 - Fri, West Delaware Schools - (Beckman Sports Complex), Center Point-Urbana, L, 0-8
Away, 04/13/2019 - Sat, Solon High School, @Solon, L, 0-4
Away, 04/16/2019 - Tue, Maquoketa High School, @Maquoketa, L, 0-7
Away, 04/18/2019 - Thu, South Tama High School, @South Tama, L, 0-6
Away, 04/23/2019 - Tue, Mount Vernon High School, @Mount Vernon, L, 0-10
Away, 04/25/2019 - Thu, Martin Sports Complex, @Cedar Valley Christian, L, 0-3
Away, 04/26/2019 - Fri, Clear Creek Amana High School, @Clear Creek-Amana, L, 0-10
Home, 04/30/2019 - Tue, West Delaware Schools - (Beckman Sports Complex), Central DeWitt, L, 0-4
Home, 05/02/2019 - Thu, West Delaware Schools - (Beckman Sports Complex), Marion, L, 0-10
Away, 05/07/2019 - Tue, Benton Community Middle School High School, @Benton, L, 0-1
Away, 05/10/2019 - Fri, Independence High School, @Independence, L, 0-10
Away, 05/13/2019 - Mon, Dean Nelson Field, @Monticello, L, 1-2
Away, 05/14/2019 - Tue, Beckman Catholic High School, @Beckman Catholic, L, 0-10
Home, 05/20/2019 - Mon, West Delaware Schools - (Beckman Sports Complex), Williamsburg, L, 1-9
Away, 05/21/2019 - Tue, Decorah High School, @Decorah, L, 0-10
Away, 05/29/2019 - Wed, Memorial Stadium, @Hudson, L, 0-10
