Status, Date, Location, Opponent, Outcome, Score
Home, 04/01/2019 - Mon, West Liberty High School, Solon, L, 0-5
Away, 04/08/2019 - Mon, Washington High School, @Washington, L, 0-7
Home, 04/09/2019 - Tue, West Liberty High School, Keokuk, L, 0-3
Away, 04/12/2019 - Fri, Williamsburg Junior-Senior High School, @Williamsburg, L, 0-6
Away, 04/18/2019 - Thu, Martin Sports Complex, @Cedar Valley Christian, L, 0-3
Home, 04/20/2019 - Sat, West Liberty High School, Mid-Prairie, L, 1-3
Away, 04/22/2019 - Mon, Vinton-Shellsburg High School, @Vinton-Shellsburg, L, 1-11
Home, 04/29/2019 - Mon, West Liberty High School, Northeast, Game Cancelled, N/A
Away, 05/06/2019 - Mon, Mediapolis Community School, @Mediapolis, L, 2-5
Home, 05/09/2019 - Thu, West Liberty High School, Monticello, W, 2-0
Home, 05/11/2019 - Sat, West Liberty High School, Northeast, W, 4-1
Home, 05/11/2019 - Sat, West Liberty High School, Mount Pleasant, L, 0-3
Home, 05/13/2019 - Mon, West Liberty High School, Columbus, L, 0-3
Away, 05/17/2019 - Fri, Clinton High School, @Clinton, L, 0-8
Home, 05/21/2019 - Tue, West Liberty High School, Mount Vernon, L, 0-10
Away, 05/28/2019 - Tue, Assumption High School, @Davenport Assumption, L, 0-10
