Status, Date, Location, Opponent, Outcome, Score
Home, 04/01/2019 - Mon, West Sioux High School, Unity Christian, L, 0-10
Away, 04/02/2019 - Tue, Sioux Center Football Field, @Sioux Center, L, 0-1
Away, 04/04/2019 - Thu, West Sioux High School, @Sheldon, W, 2-1
Home, 04/08/2019 - Mon, West Sioux High School, Spirit Lake, L, 0-7
Away, 04/09/2019 - Tue, Storm Lake High School, @Storm Lake, W, 2-1
Home, 04/16/2019 - Tue, West Sioux High School, Western Christian, L, 0-4
Away, 04/25/2019 - Thu, Unity Christian, Orange City, @Unity Christian, L, 0-5
Home, 04/29/2019 - Mon, West Sioux High School, Storm Lake, W, 1-0
Away, 05/02/2019 - Thu, Spirit Lake High School, @Spirit Lake, L, 2-5
Home, 05/06/2019 - Mon, West Sioux High School, MOC-Floyd Valley, L, 2-3
Away, 05/09/2019 - Thu, Western Christian High School, @Western Christian, L, 0-3
Home, 05/10/2019 - Fri, West Sioux High School, Sergeant Bluff-Luton, L, 0-8
Away, 05/13/2019 - Mon, East Sac County- WL Athletic Complex, @East Sac County, L, 0-1
Home, 05/16/2019 - Thu, West Sioux High School, Spencer, L, 0-8
Away, 05/17/2019 - Fri, MOC-Floyd Valley/NWC Soccer Complex, @MOC-Floyd Valley, Game Cancelled, N/A
Away, 05/28/2019 - Tue, Heelan Catholic Memorial Stadium, @Bishop Heelan, L, 0-10
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h201903050124469854fad5db696be49
