Status, Date, Location, Opponent, Outcome, Score
Away, 04/01/2019 - Mon, MOC-Floyd Valley/NWC Soccer Complex, @MOC-Floyd Valley, W, 6-1
Away, 04/04/2019 - Thu, Sioux Center Football Field, @Sioux Center, W, 3-1
Home, 04/08/2019 - Mon, Western Christian High School, Spencer, L, 0-4
Home, 04/09/2019 - Tue, Western Christian High School, Unity Christian, W, 2-1
Away, 04/16/2019 - Tue, West Sioux High School, @West Sioux, W, 4-0
Home, 04/18/2019 - Thu, Western Christian High School, Spirit Lake, W, 5-1
Away, 04/23/2019 - Tue, Storm Lake High School, @Storm Lake, W, 4-0
Home, 04/25/2019 - Thu, Western Christian High School, MOC-Floyd Valley, W, 2-1
Home, 04/29/2019 - Mon, Western Christian High School, Sioux Center, W, 6-0
Away, 04/30/2019 - Tue, Sergeant Bluff-Luton Senior High School, @Sergeant Bluff-Luton, Game Cancelled, N/A
Away, 05/02/2019 - Thu, Spencer Senior High School, @Spencer, L, 0-2
Away, 05/06/2019 - Mon, Unity Christian, Orange City, @Unity Christian, L, 1-2
Home, 05/09/2019 - Thu, Western Christian High School, West Sioux, W, 3-0
Away, 05/13/2019 - Mon, Spirit Lake High School, @Spirit Lake, W, 5-1
Home, 05/14/2019 - Tue, Western Christian High School, Sheldon, W, 10-0
Home, 05/16/2019 - Thu, Western Christian High School, Storm Lake, W, 3-0
Away, 05/18/2019 - Sat, Sioux City East High School, @Sioux City East, Game Cancelled, N/A
Home, 05/22/2019 - Wed, Western Christian High School, Sioux City East, Game Cancelled, N/A
Home, 05/28/2019 - Tue, Sioux Center Football Field, Sioux Center, W, 3-0
Away, 05/31/2019 - Fri, Unity Christian High School, @Unity Christian, L, 0-1
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012447154ebbfb1fa9e4646
