Status, Date, Location, Opponent, Outcome, Score
Away, 04/02/2019 - Tue, Hudson Athletic Complex, @Hudson, L, 2-3
Home, 04/04/2019 - Thu, Western Dubuque High School, Beckman Catholic, L, 2-7
Home, 04/09/2019 - Tue, Western Dubuque High School, Dubuque Hempstead, W, 2-1
Away, 04/11/2019 - Thu, Kingston Stadium, @Cedar Rapids Washington, W, 1-0
Away, 04/15/2019 - Mon, Felderman Park, @Marquette Catholic, W, 11-1
Home, 04/18/2019 - Thu, Western Dubuque High School, Linn-Mar, L, 0-5
Away, 04/23/2019 - Tue, Wahlert Catholic High School, @Wahlert Catholic, L, 0-2
Home, 04/26/2019 - Fri, Western Dubuque High School, Waterloo East, L, 0-3
Away, 04/30/2019 - Tue, Iowa City High, @Iowa City, City High, L, 1-5
Home, 05/03/2019 - Fri, Western Dubuque High School, Prairie, L, 0-5
Home, 05/10/2019 - Fri, Western Dubuque High School, Xavier, L, 1-10
Home, 05/11/2019 - Sat, Waverly-Shell Rock Senior High School, GC-GR, L, 0-5
Home, 05/11/2019 - Sat, Waverly Soccer Complex, St. Albert, L, 1-6
Home, 05/11/2019 - Sat, Waverly Soccer Complex, Benton, W, 7-0
Away, 05/14/2019 - Tue, Cedar Valley Soccer Complex, @Cedar Falls, W, 3-2
Away, 05/16/2019 - Thu, Dubuque Senior High School, @Dubuque Senior, L, 1-3
Home, 05/21/2019 - Tue, Western Dubuque High School, Cedar Rapids Jefferson, W, 2-1
Away, 05/23/2019 - Thu, Independence High School, @Decorah, L, 0-2
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012447324dd46ed03e81748
