Status, Date, Location, Opponent, Outcome, Score
Away, 04/02/2019 - Tue, Perry High School, @Perry, W, 3-0
Home, 04/04/2019 - Thu, Earlham High School, Boone, W, 10-0
Home, 04/06/2019 - Sat, Gale Wickersham Athletic Complex, St. Albert, W, 3-2
Home, 04/06/2019 - Sat, Gale Wickersham Athletic Complex, Tri-Center, W, 2-0
Home, 04/09/2019 - Tue,  Martin Marietta Soccer Complex  East Court Avenue Winterset, Iowa 50273, Des Moines Roosevelt, W, 3-1
Away, 04/11/2019 - Thu, Carlisle High School, @Carlisle, W, 5-3
Away, 04/16/2019 - Tue, Nodaway Valley High School, @Nodaway Valley, W, 10-0
Away, 04/22/2019 - Mon, Dallas Center-Grimes Meadows, @Dallas Center-Grimes, L, 1-2
Away, 04/23/2019 - Tue, Gilbert High School, @Gilbert, L, 0-1
Home, 04/26/2019 - Fri, Earlham High School, Carroll, W, 10-0
Away, 04/29/2019 - Mon, Norwalk High School, @Norwalk, L, 0-1
Away, 05/03/2019 - Fri, Earlham High School, @ADM, L, 1-2
Home, 05/10/2019 - Fri, Earlham High School, Bondurant-Farrar, W, 3-0
Home, 05/14/2019 - Tue, Earlham High School, Creston, W, 5-0
Away, 05/16/2019 - Thu, Pella High School, @Pella, L, 0-1
Home, 05/21/2019 - Tue, Earlham High School, Ballard, Game Cancelled, N/A
Home, 05/29/2019 - Wed, Earlham High School, Carlisle, W, 8-2
Away, 06/03/2019 - Mon, Lewis Central High School, @Lewis Central, L, 0-1
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h201903050124479180e351923a94c46
