Status, Date, Location, Opponent, Outcome, Score
Home, 04/04/2019 - Thu, Xavier High School, Dowling Catholic, L, 3-4
Away, 04/06/2019 - Sat, Waverly-Shell Rock Soccer Complex, @Waverly-Shell Rock, W, 3-2
Home, 04/09/2019 - Tue, Xavier High School, Iowa City Liberty, W, 7-0
Home, 04/13/2019 - Sat, Xavier High School, Prairie, L, 2-3
Home, 04/16/2019 - Tue, Xavier High School, Cedar Rapids Kennedy, W, 1-0
Home, 04/20/2019 - Sat, Xavier High School, North Scott, W, 2-1
Away, 04/23/2019 - Tue, Linn-Mar High School, @Linn-Mar, L, 0-3
Away, 04/25/2019 - Thu, Kingston Stadium, @Cedar Rapids Washington, W, 4-0
Away, 05/03/2019 - Fri, Cedar Valley Soccer Complex, @Cedar Falls, W, 5-1
Home, 05/07/2019 - Tue, Xavier High School, Waterloo East, W, 7-1
Away, 05/10/2019 - Fri, Western Dubuque High School, @Western Dubuque, W, 10-1
Away, 05/11/2019 - Sat, Bettendorf High School, @Bettendorf, L, 2-3
Away, 05/13/2019 - Mon, West High School, @Iowa City West, W, 3-0
Away, 05/16/2019 - Thu, Iowa City High, @Iowa City, City High, W, 1-0
Home, 05/20/2019 - Mon, Xavier High School, Dubuque Senior, W, 3-0
Home, 05/21/2019 - Tue, Xavier High School, Dubuque Hempstead, W, 4-2
Home, 05/28/2019 - Tue, Robert W. Plaster Athletic Complex, Davenport North, W, 2-0
Home, 06/03/2019 - Mon, Xavier High School, North Scott, W, 4-1
Away, 06/06/2019 - Thu, James. W Cownie Soccer Park - Field 8, @Spencer, W, 3-0
Away, 06/07/2019 - Fri, James. W Cownie Soccer Park - Field 9, @ADM, W, 1-0
Home, 06/08/2019 - Sat, James. W Cownie Soccer Park - Field 9, Waverly-Shell Rock, W, 2-1
