Team, Record, GP, G, A, P, Sh, Sh %, SOG, SOG %, CK, PKM, PKA, GA, Avg, S, S %
Davenport Assumption  ,  20 - 1 - 0  ,  21  ,  126  ,  62  ,  314  ,  492  ,  0.256  ,  322  ,  0.391  ,  122  ,  2  ,  4  ,  5  ,  0.287  ,  30  ,  0.857  
Gilbert  ,  19 - 1 - 0  ,  20  ,  93  ,  53  ,  239  ,  442  ,  0.210  ,  306  ,  0.304  ,  83  ,  3  ,  3  ,  8  ,  0.499  ,  94  ,  0.922  
Spencer  ,  19 - 2 - 0  ,  21  ,  118  ,  59  ,  295  ,  395  ,  0.299  ,  233  ,  0.506  ,  104  ,  3  ,  3  ,  2  ,  0.220  ,  17  ,  0.895  
ADM  ,  18 - 2 - 0  ,  20  ,  65  ,  45  ,  175  ,  269  ,  0.242  ,  228  ,  0.285  ,  83  ,  2  ,  2  ,  11  ,  0.656  ,  90  ,  0.891  
Linn-Mar  ,  18 - 2 - 0  ,  20  ,  63  ,  55  ,  181  ,  380  ,  0.166  ,  217  ,  0.290  ,  92  ,  4  ,  5  ,  11  ,  0.553  ,  74  ,  0.871  
Waverly-Shell Rock  ,  17 - 2 - 0  ,  19  ,  85  ,  41  ,  211  ,  518  ,  0.164  ,  304  ,  0.280  ,  140  ,  1  ,  1  ,  6  ,  0.359  ,  41  ,  0.872  
Center Point-Urbana  ,  17 - 3 - 0  ,  20  ,  61  ,  42  ,  164  ,  373  ,  0.164  ,  228  ,  0.268  ,  114  ,  2  ,  2  ,  3  ,  0.146  ,  60  ,  0.952  
Council Bluffs Lincoln  ,  16 - 3 - 0  ,  19  ,  55  ,  36  ,  146  ,  293  ,  0.188  ,  181  ,  0.304  ,  53  ,  3  ,  4  ,  16  ,  0.861  ,  89  ,  0.848  
Burlington Notre Dame  ,  15 - 3 - 0  ,  18  ,  63  ,  47  ,  173  ,  412  ,  0.153  ,  203  ,  0.310  ,  116  ,  2  ,  3  ,  5  ,  0.300  ,  92  ,  0.948  
Pella  ,  15 - 3 - 0  ,  18  ,  76  ,  30  ,  182  ,  387  ,  0.196  ,  250  ,  0.304  ,  116  ,  4  ,  8  ,  12  ,  0.705  ,  65  ,  0.844  
